r rho u P M
0.009840601461429812 109849.4775914795 386.23174591206663 15279013.783317871 2.7062720964461215
0.009945796332129135 108215.55779921453 384.02150890480857 14972364.63324894 2.7202735041894504
0.010050325596076952 106632.2147959019 381.85971038546654 14676830.84811938 2.7342749119327885
0.010154205181681149 105096.984998767 379.7443529063073 14391815.601799147 2.7482763196761404
0.010257450458803625 103607.5649209573 377.6735540822876 14116763.862942537 2.7622777274195016
0.010360076265100784 102161.79833526917 375.64553818517857 13851158.82560401 2.776279135162877
0.01046209693083238 100757.66464878042 373.6586284815272 13594518.696864944 2.790280542906257
0.010563526302243133 99393.26836153101 371.7112402272652 13346393.801031115 2.8042819506496364
0.010664377763613335 98066.8294926316 369.801874266329 13106363.964405758 2.8182833583930162
0.010764664258066707 96776.67487300833 367.92911116652306 12874036.149747953 2.8322847661363917
0.01086439830721959 95521.23021260208 366.09160581827916 12649042.313077413 2.846286173879776
0.010963592029747638 94299.01286351746 364.2880824797841 12431037.45880413 2.860287581623156
0.011062257158941644 93108.6252095428 362.5173302050321 12219697.872265572 2.87428898936654
0.011160405059318906 91948.74861743089 360.7781985998627 12014719.510198928 2.888290397109915
0.011258046742353721 90818.13789530571 359.0695938635938 11815816.532606816 2.9022918048532764
0.011355192881383907 89715.61620932995 357.3904750488265 11622719.96078089 2.9162932125966425
0.011451853825749626 88640.070412178 355.7398504685885 11435176.447755558 2.9302946203400175
0.011548039614194166 87590.44676611666 354.1167741946966 11252947.151484666 2.9442960280833974
0.011643759987494161 86565.74707777122 352.52034276586653 11075806.7102479 2.958297435826782
0.011739024400116715 85565.02536221407 350.9496927302792 10903542.350061918 2.9722988435701616
0.01183384203020255 84587.38544726657 349.40400138270127 10735953.23349405 2.986300251313551
0.011928221786365932 83631.98018990424 347.8824965707961 10572850.279668871 3.000301659056935
0.012022172314661688 82698.00792711455 346.3844777917712 10414055.912831211 3.01430306680032
0.012115702078795478 81784.64478658997 344.90792200521196 10259392.626060689 3.028304474543704
0.01220881924484154 80891.21406602534 343.45479202005777 10108705.873286525 3.0423058822870934
0.012301531766569689 80017.00718255618 342.0230457434145 9961840.261399465 3.0563072900304777
0.01239384738622673 79161.3554068973 340.612047406369 9818649.657479402 3.070308697773867
0.012485773638853137 78323.62441594571 339.22119999198196 9678995.989732217 3.0843101055172557
0.012577317858713234 77503.21029481843 337.849932556037 9542748.216665294 3.098311513260645
0.012668487186332308 76699.53700959338 336.49769611636276 9409781.729105774 3.1123129210040292
0.012759288575482603 75912.05458644667 335.1639623467464 9279977.928600986 3.1263143287474184
0.01284972879991473 75140.23758886824 333.8482229098309 9153223.871615347 3.140315736490817
0.012939814459790913 74383.58374559846 332.5499888068043 9029411.944152515 3.154317144234215
0.013029551987823589 73641.61268029337 331.2687896451995 8908439.557446353 3.168318551977618
0.013118947655134744 72913.86472435403 330.00417287798786 8790208.86233515 3.182319959721026
0.013208007576853302 72199.89980515807 328.75570301335574 8674626.481339535 3.196321367464438
0.013296737717465786 71499.29640427604 327.52296084001676 8561603.257870948 3.210322775207855
0.013385143895934003 70811.65058119077 326.30554269243686 8451054.021739436 3.2243241829512765
